StartTime,EndTime,Duration_min,Count
11:04:00 AM,11:14:00 AM,10,117
11:45:00 AM,11:55:00 AM,10,141
12:15:00 PM,12:25:00 PM,10,161
12:45:00 PM,12:55:00 PM,10,161
